2026-05-13 14:29:10.806 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-13 15:24:24.883 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['地区', '统计', '统计各地区销售总额', '销售总额']
2026-05-13 15:24:30.935 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-13 15:40:16.656 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['地区', '销售总额', '统计', '统计各地区销售总额']
2026-05-13 15:40:17.553 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:39 - 扩展后的关键字列表：{'地区', '统计各地区销售总额', '销售金额', '销售总额', '统计'}
2026-05-13 15:40:22.731 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-13 16:02:59.811 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['统计各地区销售总额', '统计', '地区', '销售总额']
2026-05-13 16:03:01.534 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'统计', '销售总额', '统计各地区销售总额', '销售金额', '地区'}
2026-05-13 16:03:02.603 | ERROR    | request_id - 1 | app.agent.nodes.recall_column:recall_column:70 - 召回字段异常：'ColumnQdrantRepository' object has no attribute 'search'
2026-05-13 16:06:40.090 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['统计', '地区', '统计各地区销售总额', '销售总额']
2026-05-13 16:06:41.373 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'销售金额', '统计各地区销售总额', '统计', '地区', '销售总额'}
2026-05-13 16:07:45.651 | ERROR    | request_id - 1 | app.agent.nodes.recall_column:recall_column:70 - 召回字段异常：'NoneType' object is not iterable
2026-05-13 16:08:45.194 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['统计', '统计各地区销售总额', '销售总额', '地区']
2026-05-13 16:08:46.104 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'统计', '统计各地区销售总额', '销售金额', '地区', '销售总额'}
2026-05-13 16:08:46.736 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:67 - 召回字段成功[dict_keys(['fact_order.order_quantity', 'fact_order.order_amount', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id'])]
2026-05-13 16:08:51.787 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-15 08:20:03.592 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['销售总额', '地区', '统计各地区销售总额', '统计']
2026-05-15 08:20:04.240 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'销售总额', '地区', '统计各地区销售总额', '销售金额', '统计'}
2026-05-15 08:20:04.286 | ERROR    | request_id - 1 | app.agent.nodes.recall_column:recall_column:70 - 召回字段异常：Server error '502 Bad Gateway' for url 'http://localhost:8081'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502
2026-05-15 08:21:13.066 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['销售总额', '地区', '统计', '统计各地区销售总额']
2026-05-15 08:21:13.633 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'统计', '统计各地区销售总额', '销售总额', '销售金额', '地区'}
2026-05-15 08:21:14.160 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:67 - 召回字段成功[dict_keys(['fact_order.order_quantity', 'fact_order.order_amount', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id'])]
2026-05-15 08:21:19.203 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-15 08:46:12.897 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['销售总额', '地区', '统计各地区销售总额', '统计']
2026-05-15 08:46:13.494 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'销售总额', '地区', '统计各地区销售总额', '统计', '销售金额'}
2026-05-15 08:46:14.190 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:67 - 召回字段成功[dict_keys(['fact_order.order_amount', 'fact_order.order_quantity', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id'])]
2026-05-15 08:46:14.565 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:47 - 扩展后的关键字列表：{'销售总额', '地区', '统计各地区销售总额', '销售额', 'GMV', '统计', '销售收入', '总销售额'}
2026-05-15 08:46:15.388 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:69 - 召回指标成功[dict_keys(['GMV', 'AOV'])]
2026-05-15 08:46:20.430 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-15 09:05:52.186 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['销售总额', '统计', '统计各地区销售总额', '地区']
2026-05-15 09:05:52.844 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:43 - 扩展后的关键字列表：{'统计', '地区', '销售总额', '各地区', '统计各地区销售总额'}
2026-05-15 09:05:52.866 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:61 - 召回字段取值成功[dict_keys([])]
2026-05-15 09:05:52.984 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'统计', '地区', '销售总额', '销售金额', '统计各地区销售总额'}
2026-05-15 09:05:53.530 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:67 - 召回字段成功[dict_keys(['fact_order.order_quantity', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id', 'fact_order.order_amount'])]
2026-05-15 09:05:53.882 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:47 - 扩展后的关键字列表：{'统计', '地区', '销售总额', '销售额', '销售收入', '统计各地区销售总额', 'GMV', '总销售额'}
2026-05-15 09:05:54.705 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:69 - 召回指标成功[dict_keys(['GMV', 'AOV'])]
2026-05-15 09:05:59.740 | ERROR    | request_id - 1 | app.agent.nodes.validate_sql:validate_sql:25 - 校验sql异常：division by zero
2026-05-15 09:07:02.642 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:44 - 关键字提取成功:['华北地区', '销售总额', '统计华北地区销售总额', '统计']
2026-05-15 09:07:03.725 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:45 - 扩展后的关键字列表：{'销售总额', '统计日期', '统计华北地区销售总额', '统计', '华北地区', '地区', '销售金额'}
