2026-05-12 09:15:32.334 | INFO     | request_id - 1 | __main__:build:7 - build meta knowledge
2026-05-12 09:17:07.898 | INFO     | request_id - 1 | __main__:build:7 - build meta knowledge
2026-05-12 09:17:57.717 | INFO     | request_id - 1 | __main__:build:7 - build meta knowledge
2026-05-12 09:18:08.942 | INFO     | request_id - 1 | __main__:build:4 - build meta knowledge
2026-05-12 09:28:49.215 | INFO     | request_id - 1 | __main__:build:6 - build meta knowledge
2026-05-12 09:29:45.966 | INFO     | request_id - 1 | __main__:build:6 - build meta knowledge
2026-05-12 09:37:34.782 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:37:51.008 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:38:13.348 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:38:39.558 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:40:51.580 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:40:58.011 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:41:49.175 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:41:57.707 | INFO     | request_id - 1 | __main__:build:8 - build meta knowledge
2026-05-12 09:42:42.208 | INFO     | request_id - 1 | __main__:build:10 - build meta knowledgeconfig\meta_config.yaml
2026-05-12 10:08:21.928 | INFO     | request_id - 1 | __main__:build:10 - build meta knowledgeconfig\meta_config.yaml
2026-05-12 10:17:31.110 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:22 - 加载配置文件完成
2026-05-12 10:42:55.165 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:24 - 加载配置文件完成
2026-05-12 10:51:50.433 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:24 - 加载配置文件完成
2026-05-12 10:51:50.486 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:45 - 保存表信息到meta数据库
2026-05-12 11:08:10.132 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:24 - 加载配置文件完成
2026-05-12 11:08:10.162 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:45 - 保存表信息到meta数据库
2026-05-12 11:32:38.134 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:30 - 加载配置文件完成
2026-05-12 11:32:38.185 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:73 - 保存表信息到meta数据库
2026-05-12 11:43:46.893 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:30 - 加载配置文件完成
2026-05-12 11:43:46.975 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:77 - 保存表信息到meta数据库
2026-05-12 14:27:59.211 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:33 - 加载配置文件完成
2026-05-12 14:27:59.341 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:39 - 保存表信息到meta数据库
2026-05-12 15:26:57.417 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:39 - 加载配置文件完成
2026-05-12 15:26:57.477 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:45 - 保存表信息到meta数据库
2026-05-12 15:27:05.006 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:98 - 为字段构建向量索引
2026-05-12 16:35:19.326 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:42 - 加载配置文件完成
2026-05-12 16:35:19.398 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:48 - 保存表信息到meta数据库
2026-05-12 16:35:26.877 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:51 - 为字段构建向量索引
2026-05-12 16:35:27.366 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:89 - 为字段值构建全文索引
2026-05-13 09:03:58.718 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:44 - 加载配置文件完成
2026-05-13 09:03:58.770 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:51 - 保存表信息到meta数据库
2026-05-13 09:04:05.809 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:54 - 为字段构建向量索引
2026-05-13 09:04:05.830 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:56 - 为字段值构建全文索引
2026-05-13 10:03:01.163 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:49 - 加载配置文件完成
2026-05-13 10:03:01.241 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:56 - 保存表信息到meta数据库
2026-05-13 10:03:08.804 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:59 - 为字段构建向量索引
2026-05-13 10:03:08.833 | INFO     | request_id - 1 | app.services.meta_knowledge_service:build:61 - 为字段值构建全文索引
